STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-998.6748657226562,120.74555969238281,618.2920532226562,15,-1
1,*,-924.74853515625,122.65373229980469,680.6793823242188,15,-1
2,*,-851.3612060546875,99.1753921508789,633.5907592773438,15,-1
3,*,-872.2208862304688,96.99007415771484,539.0879516601562,15,-1
4,*,-947.496826171875,124.58282470703125,475.021240234375,15,-1
5,*,-875.890625,131.09829711914062,341.01788330078125,15,-1
6,*,-728.4200439453125,116.81090545654297,282.88629150390625,15,-1
7,*,-578.5958251953125,110.90291595458984,203.93698120117188,15,-1
8,*,-731.326171875,116.68392944335938,282.8168640136719,15,-1
9,*,-833.3724365234375,133.45359802246094,340.61334228515625,15,-1
10,end,-985.5977172851562,125.75959777832031,482.774169921875,15,-1
-1,reset,-857.2797241210938,115.92918395996094,-117.54000091552734,5,-1
