STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-68.79408264160156,200.4074249267578,-980.1367797851562,15,-1
1,*,-96.89622497558594,159.44239807128906,-857.9364624023438,15,-1
2,*,-86.7155532836914,148.5857391357422,-735.3827514648438,15,-1
3,*,-116.08379364013672,137.91058349609375,-503.3642883300781,15,-1
4,*,31.547189712524414,140.561279296875,-358.8987731933594,15,-1
5,*,147.14361572265625,144.9550323486328,-633.4431762695312,15,-1
6,*,480.82135009765625,148.44041442871094,-690.4315185546875,15,-1
7,*,488.58636474609375,149.59039306640625,-869.2438354492188,15,-1
8,*,353.2149963378906,149.68780517578125,-834.0715942382812,15,-1
9,*,241.82992553710938,149.5526580810547,-816.0138549804688,15,-1
10,*,127.6854019165039,165.71145629882812,-835.7896118164062,15,-1
11,*,82.962158203125,201.3306121826172,-963.7642822265625,15,-1
12,end,-0.04301167652010918,201.86587524414062,-991.489013671875,15,-1
-1,reset,-14.634519577026367,198.33189392089844,-951.4351196289062,5,-1
