STEP,STEPNAME,X,Y,Z
0,start,202.70675659179688,70.80860137939453,403.51470947265625
1,*,266.49517822265625,62.43642807006836,495.3705139160156
2,*,375.7998046875,3.8691647052764893,624.6299438476562
3,*,634.911865234375,10.606104850769043,529.436279296875
4,*,798.1973266601562,18.144250869750977,241.2448272705078
5,*,993.29638671875,23.072174072265625,184.38426208496094
6,*,1009.0097045898438,30.971525192260742,-170.80096435546875
7,*,863.7068481445312,64.04179382324219,-56.3296012878418
8,*,982.47705078125,51.413780212402344,127.16199493408203
9,*,921.8460693359375,50.39435577392578,123.31391143798828
10,*,430.70220947265625,74.45642852783203,115.51081085205078
11,end,242.55702209472656,75.58273315429688,359.1917419433594
-1,reset,68.7018051147461,114.04086303710938,251.4627227783203
