STEP,STEPNAME,X,Y,Z,RADIUS
0,start,244.6723175048828,35.87153625488281,-181.62661743164062,15
1,*,141.44644165039062,44.81421661376953,-116.46607208251953,15
2,*,330.5852966308594,71.37446594238281,-51.699317932128906,15
3,*,212.50653076171875,70.30594635009766,-254.1324005126953,15
4,*,259.79937744140625,100.2771224975586,132.09791564941406,15
5,*,288.00177001953125,108.61579132080078,214.2789764404297,15
6,*,158.1171112060547,108.70496368408203,310.9414978027344,15
7,*,-154.79078674316406,123.87151336669922,289.8670349121094,15
8,*,-122.17913055419922,153.19631958007812,229.0595703125,15
9,*,33.32350158691406,70.4909896850586,-102.04613494873047,15
10,*,92.8262710571289,76.74485778808594,39.662078857421875,15
11,*,105.45409393310547,77.3934555053711,-144.23167419433594,15
12,*,242.14874267578125,58.681156158447266,-122.990234375,15
13,*,342.85919189453125,43.78184509277344,-50.627662658691406,15
14,end,275.9925842285156,43.742950439453125,-167.73077392578125,25
