STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,35.67, 111.35, -7.02,5
0,start, 42.57, 103.83, -282.71,15
1,*,-253.95, 162.94, 284.7,15
2,*,-204.19338989257812,105.6761703491211,247.5579376220703,25
3,*,-186.53912353515625,94.18487548828125,299.6792907714844,15
4,*,-244.09213256835938,61.73196029663086,289.51177978515625,20
5,*,-188.36654663085938,57.207359313964844,306.1012268066406,15
6,*,-229.21554565429688,29.605661392211914,277.5657958984375,25
7,*, 81.8, 0.56, -323.83,15
8,*, 293.64, 60.74, -49.93,15
9,*, 113.59, 154.99, -62.03,15
10,*, 97.33, 221.3, 278.31,15
11,end, 42.5, 103.87, -187.45,15
