STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-24.245468139648438,578.1213989257812,-242.6626434326172,15,-1
1,*,13.359448432922363,556.6870727539062,-21.69426727294922,15,-1
2,*,8.248689651489258,551.0491333007812,-214.92462158203125,15,-1
3,*,252.06443786621094,547.6133422851562,-116.00164794921875,15,-1
4,*,-12.159482955932617,555.7278442382812,-45.669490814208984,15,-1
5,*,40.86643600463867,586.0086059570312,233.21327209472656,15,-1
6,*,73.85039520263672,586.6115112304688,140.8997039794922,15,-1
7,*,111.83511352539062,586.3938598632812,231.4252471923828,15,-1
8,*,144.36122131347656,586.438232421875,139.56149291992188,15,-1
9,*,264.6407165527344,565.3570556640625,150.59022521972656,15,-1
10,*,-10.305547714233398,529.1073608398438,-21.225814819335938,15,-1
11,*,-168.96034240722656,542.8416137695312,-185.71743774414062,15,-1
12,*,-96.0958023071289,538.3110961914062,211.7653350830078,15,-1
13,*,16.936166763305664,528.4277954101562,-47.76429748535156,15,-1
14,*,-175.00885009765625,503.63629150390625,-147.0873260498047,15,-1
15,*,-319.1189880371094,475.8675842285156,-223.74766540527344,15,-1
16,*,-292.2062072753906,443.64727783203125,-162.0558319091797,15,-1
17,*,-250.16299438476562,435.46551513671875,-220.5023651123047,15,-1
18,*,-172.73756408691406,422.99127197265625,-256.3783874511719,15,-1
19,*,-41.61410903930664,422.916259765625,-312.2003173828125,15,-1
20,*,-36.02203369140625,399.0224609375,-212.4734649658203,15,-1
21,*,-176.95376586914062,348.4251708984375,-185.65234375,15,-1
22,*,-184.7360076904297,325.1347961425781,-73.48028564453125,15,-1
23,*,-271.30731201171875,293.054443359375,13.55937385559082,15,-1
24,*,-283.2757263183594,256.1692810058594,-138.06784057617188,15,-1
25,*,-249.31393432617188,242.48243713378906,-318.9731140136719,15,-1
26,*,-49.43791580200195,242.3323211669922,-104.74530792236328,15,-1
27,*,8.075539588928223,214.5592498779297,-28.116851806640625,15,-1
28,*,32.85261154174805,222.39268493652344,-105.90806579589844,15,-1
29,*,-28.994821548461914,205.6932830810547,-129.5230712890625,15,-1
30,*,24.03005027770996,174.77940368652344,-69.00978088378906,15,-1
31,*,108.10140228271484,171.20709228515625,-177.77825927734375,15,-1
32,*,99.59197235107422,111.23224639892578,-131.4261016845703,15,-1
33,*,184.8656768798828,107.0318374633789,-40.772918701171875,15,-1
34,*,43.78406524658203,26.996047973632812,-223.59732055664062,15,-1
35,*,-50.694393157958984,26.959095001220703,-224.6632537841797,15,-1
36,*,13.774934768676758,26.920740127563477,-251.5746307373047,15,-1
37,*,241.46730041503906,11.984639167785645,-365.6510925292969,15,-1
38,*,111.33333587646484,26.277395248413086,-331.3061828613281,15,-1
39,*,-54.316650390625,26.008684158325195,-275.3873596191406,15,-1
40,*,-237.23995971679688,21.21674346923828,-232.37887573242188,15,-1
41,*,-274.3615417480469,1.3690829277038574,131.06600952148438,15,-1
42,*,-367.76812744140625,1.2940948009490967,167.95111083984375,15,-1
43,*,-330.00592041015625,1.161814570426941,-146.89254760742188,15,-1
44,*,-307.9045104980469,20.277917861938477,-305.9682922363281,15,-1
45,*,-251.07070922851562,44.74000930786133,-259.5440368652344,15,-1
46,*,-307.9952392578125,68.9866943359375,-307.5441589355469,15,-1
47,*,-0.646009087562561,68.23540496826172,-305.3606872558594,15,-1
48,end,0.25597044825553894,59.31657409667969,-118.42617797851562,15,-1
-1,reset,3.0293071269989014,61.3291015625,-35.94487762451172,5,-1
-1,reset,-24.26428985595703,565.6762084960938,-307.3681640625,5,-1
