STEP,STEPNAME,X,Y,Z,RADIUS
-1,reset,-841.8375854492188,46.587345123291016,791.7620849609375,5
0,start,-772.4796142578125,44.041908264160156,825.5215454101562,15
1,*,-606.7314453125,50.54117202758789,955.0523681640625,15
2,*,-568.5853271484375,37.12322998046875,925.8633422851562,15
3,*,-551.7752685546875,20.42473602294922,990.5553588867188,15
4,*,-543.7262573242188,18.476970672607422,792.4224243164062,15
5,*,-499.6780090332031,5.868569850921631,696.0170288085938,15
6,*,-299.366455078125,13.640110969543457,624.0659790039062,15
7,*,-401.0072937011719,23.621402740478516,392.3872375488281,15
8,*,-592.0150146484375,22.546215057373047,350.1063232421875,15
9,*,-725.1605224609375,8.198063850402832,344.000732421875,20
10,*,-929.2398681640625,33.42193603515625,660.4246215820312,15
11,end,-848.1552734375,43.639244079589844,697.0991821289062,15
