STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-984.646484375,26.15656280517578,384.751953125,15,-1
1,*,-954.9871826171875,25.376420974731445,252.2132568359375,15,-1
2,*,-868.0863647460938,17.49236488342285,101.48091125488281,15,-1
3,*,-843.7178955078125,22.424787521362305,-2.189028024673462,15,-1
4,*,-803.0236206054688,26.63161277770996,-160.66835021972656,15,-1
5,*,-474.8863220214844,15.47445297241211,-134.59263610839844,15,-1
6,*,-312.887451171875,6.028095722198486,-200.6916046142578,15,-1
7,*,-142.80274963378906,23.656320571899414,-364.5568542480469,15,-1
8,*,-80.11002349853516,29.77566909790039,-487.1807861328125,15,-1
9,*,-199.076171875,24.780914306640625,-466.89984130859375,15,-1
10,*,-275.5713806152344,2.906609535217285,-229.70925903320312,15,-1
11,*,-428.57794189453125,8.188653945922852,-154.7692108154297,15,-1
12,*,-239.99278259277344,6.870600700378418,-34.23614501953125,15,-1
13,*,-158.35777282714844,2.918930768966675,20.870332717895508,15,-1
14,*,13.884711265563965,0.21212907135486603,22.605236053466797,15,-1
15,*,213.8518829345703,14.744866371154785,71.53893280029297,15,-1
16,*,355.0874938964844,24.99593734741211,60.29426956176758,15,-1
17,*,461.503173828125,36.946258544921875,214.8590545654297,15,-1
18,*,437.39166259765625,31.656047821044922,368.7469787597656,15,-1
19,*,353.21221923828125,12.372916221618652,336.3096923828125,15,-1
20,*,184.34603881835938,0.49385255575180054,371.7757873535156,15,-1
21,*,49.3232421875,31.693653106689453,299.7796325683594,15,-1
22,*,-205.7022247314453,18.282438278198242,134.74832153320312,15,-1
23,*,-146.4508056640625,7.807576656341553,77.3022689819336,15,-1
24,*,-211.2427215576172,8.948746681213379,-17.533611297607422,15,-1
25,*,-451.8388366699219,8.921553611755371,-142.6303253173828,15,-1
26,*,-448.0451965332031,11.253557205200195,-235.8213653564453,15,-1
27,*,-580.32470703125,12.294836044311523,-291.69488525390625,15,-1
28,*,-586.916259765625,32.080936431884766,-377.37554931640625,15,-1
29,*,-626.8619384765625,33.439720153808594,-533.4205932617188,15,-1
30,*,-731.4360961914062,12.407421112060547,-522.2871704101562,15,-1
31,*,-920.8846435546875,18.368003845214844,-308.6688232421875,15,-1
32,*,-1012.5783081054688,22.232263565063477,-274.448974609375,15,-1
33,*,-947.6647338867188,35.39824295043945,-111.10604095458984,15,-1
34,*,-877.680908203125,31.879520416259766,-200.37832641601562,15,-1
35,*,-936.6262817382812,51.54785919189453,-275.32867431640625,15,-1
36,*,-987.83154296875,76.72093963623047,-179.9957275390625,15,-1
37,*,-1040.5384521484375,62.84248733520508,-45.63117218017578,15,-1
38,*,-1033.0556640625,77.59980773925781,176.16473388671875,15,-1
39,*,-1063.6436767578125,45.30478286743164,298.89654541015625,15,-1
40,*,-1018.6795654296875,34.733421325683594,368.2972106933594,15,-1
41,*,-989.3948364257812,14.590988159179688,522.3567504882812,15,-1
42,*,-953.5935668945312,14.374852180480957,644.1951904296875,15,-1
43,end,-943.9976806640625,14.539072036743164,492.9815979003906,15,-1
-1,reset,-901.9349975585938,15.923345565795898,463.7345886230469,5,-1
