STEP,STEPNAME,X,Y,Z
0,start,214.17970275878906,34.77901840209961,262.64971923828125
1,*,558.279296875,22.68880271911621,422.65399169921875
2,*,180.23519897460938,38.744205474853516,460.99139404296875
3,*,25.617855072021484,19.242494583129883,337.0907287597656
4,*,-238.86732482910156,13.418222427368164,460.1061096191406
5,*,-368.2333984375,22.580841064453125,691.6923217773438
6,*,-312.4947509765625,8.23646068572998,844.6791381835938
7,*,-226.2533416748047,8.482447624206543,740.9994506835938
8,*,-66.81645965576172,11.934187889099121,326.6263732910156
9,*,186.55453491210938,27.57809066772461,234.09915161132812
10,end,197.55825805664062,33.35205841064453,253.68312072753906
-1,reset,170.61231994628906,32.02573013305664,255.3268280029297
