STEP,STEPNAME,X,Y,Z
0,start,733.29833984375,130.61166381835938,798.1470336914062
1,*,567.7418212890625,49.79065704345703,467.09051513671875
2,*,169.1837615966797,41.01500701904297,324.2213134765625
3,*,139.72549438476562,62.498329162597656,-162.11167907714844
4,*,156.9995880126953,113.64322662353516,-537.7450561523438
5,*,292.5667724609375,102.19764709472656,-674.80517578125
6,*,313.8788146972656,92.58746337890625,-444.7699890136719
7,*,342.3179626464844,121.8738021850586,-246.27706909179688
8,*,430.84716796875,73.1112289428711,-58.046566009521484
9,*,553.2225952148438,18.335302352905273,291.4710998535156
10,*,669.5028686523438,37.44054412841797,425.2445983886719
11,end,610.7672119140625,50.10182571411133,475.6898193359375
-1,reset,740.2930297851562,133.31787109375,817.227783203125
