STEP,STEPNAME,X,Y,Z
0,start,-170.93539428710938,1.326380968093872,163.96417236328125
1,*,3.4815573692321777,-0.029108256101608276,219.9225311279297
2,*,331.5875244140625,13.986811637878418,196.99093627929688
3,*,517.1841430664062,-0.45586901903152466,190.9269561767578
4,*,689.4840698242188,0.1491001695394516,162.9842529296875
5,*,610.6405639648438,1.0427699089050293,-25.819978713989258
6,*,626.0570678710938,4.46407413482666,-281.3419494628906
7,*,592.443359375,-0.2331160455942154,-449.8894958496094
8,*,386.33087158203125,-0.5329235196113586,-852.8768920898438
9,*,80.68055725097656,-0.5403383374214172,-966.6027221679688
10,*,-217.603759765625,-0.49709755182266235,-772.9103393554688
11,*,-431.9198303222656,-0.45414412021636963,-550.5722045898438
12,*,-411.66680908203125,5.779642581939697,-234.1124725341797
13,*,-154.45156860351562,2.7358055114746094,-73.90261840820312
14,end,-165.48402404785156,3.461456537246704,127.8927230834961
-1,reset,-168.791015625,3.3922200202941895,145.42111206054688
