STEP,STEPNAME,X,Y,Z
0,start,268.03546142578125,42.39094543457031,407.3761291503906
1,*,-116.70823669433594,33.380794525146484,362.2879943847656
2,*,-6.522019863128662,113.79924774169922,80.55506896972656
3,*,204.29071044921875,47.2064323425293,2.6199214458465576
4,*,286.7492370605469,75.55101776123047,-132.9562530517578
5,*,780.190673828125,80.6693344116211,-244.0140838623047
6,*,860.9737548828125,-0.30306902527809143,153.9273681640625
7,*,875.045166015625,-0.3113495409488678,403.1307678222656
8,*,1079.69677734375,13.441140174865723,431.2515869140625
9,*,780.6974487304688,41.4215087890625,474.5398254394531
10,end,303.5571594238281,44.21235275268555,412.75262451171875
-1,reset,293.8518371582031,44.28419876098633,411.35528564453125
