STEP,STEPNAME,X,Y,Z
0,start,76.28065490722656,169.1909637451172,144.83230590820312
1,*,139.76148986816406,139.68624877929688,449.4720764160156
2,*,-24.009817123413086,143.63339233398438,475.8264465332031
3,*,-269.9059753417969,62.47275924682617,506.369873046875
4,*,-174.98696899414062,6.439240455627441,314.0978088378906
5,*,-289.589111328125,4.047126770019531,-95.59497833251953
6,*,-72.5886459350586,14.921908378601074,-144.85104370117188
7,*,-20.654233932495117,102.74556732177734,-4.693610668182373
8,end,59.449832916259766,168.59854125976562,132.0313720703125
-1,reset,102.72102355957031,168.95913696289062,109.9081039428711
