STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-961.1632690429688,163.7183074951172,373.23272705078125,15,-1
1,*,-825.62646484375,183.69374084472656,275.4015197753906,15,-1
2,*,-664.1329956054688,163.722900390625,280.3104248046875,15,-1
3,*,-411.6529235839844,198.62269592285156,245.3152313232422,15,-1
4,*,-285.28448486328125,209.29165649414062,187.88218688964844,15,-1
5,*,-80.0938720703125,156.25408935546875,149.38742065429688,15,-1
6,*,78.69933319091797,122.1407699584961,-9.173528671264648,15,-1
7,*,104.22318267822266,120.841796875,-251.20838928222656,15,-1
8,*,-97.53224182128906,150.09970092773438,-396.537353515625,15,-1
9,*,-257.9556579589844,140.78977966308594,-370.5652770996094,15,-1
10,*,-371.69903564453125,150.41758728027344,-274.2625732421875,15,-1
11,*,-510.1336364746094,159.67904663085938,-274.1679382324219,15,-1
12,*,-462.15032958984375,147.30804443359375,-127.8095474243164,15,-1
13,*,-436.3267822265625,131.6949462890625,46.97420120239258,15,-1
14,*,-433.27874755859375,157.16287231445312,136.8728485107422,15,-1
15,*,-457.7431945800781,196.93162536621094,253.82078552246094,15,-1
16,*,-664.526611328125,163.7862091064453,279.5033874511719,15,-1
17,*,-828.05810546875,184.09832763671875,275.0933837890625,15,-1
18,*,-973.6251220703125,175.2008056640625,327.85479736328125,15,-1
19,*,-1048.275634765625,183.0592803955078,391.7466735839844,15,-1
20,end,-1011.024658203125,164.41770935058594,423.05401611328125,15,-1
-1,reset,-660.8929443359375,166.65707397460938,77.8729019165039,5,-1
