STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-263.3454895019531,76.53148651123047,246.64537048339844,15,-1
1,*,-180.14016723632812,67.04151916503906,189.1544189453125,15,-1
2,*,-126.89836883544922,27.049762725830078,9.441312789916992,15,-1
3,*,-73.59416961669922,20.85070037841797,-104.24188232421875,15,-1
4,*,23.424663543701172,3.807201623916626,-174.49253845214844,15,-1
5,*,99.51287841796875,28.46401023864746,-26.37408447265625,15,-1
6,*,34.323143005371094,50.43566131591797,-16.461538314819336,15,-1
7,*,-79.5868911743164,33.83595657348633,36.611385345458984,15,-1
8,*,-190.6699981689453,42.11668014526367,117.40342712402344,15,-1
9,*,-305.6395263671875,48.28329086303711,156.0916290283203,15,-1
10,*,-439.917236328125,48.41374588012695,225.66403198242188,15,-1
11,*,-526.0753173828125,56.45063400268555,303.8376159667969,15,-1
12,*,-442.2369079589844,65.04403686523438,305.11566162109375,15,-1
13,end,-329.865478515625,69.51964569091797,271.2355651855469,15,-1
-1,reset,-571.9330444335938,4.757322311401367,-12.708488464355469,5,-1
