STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-296.5445251464844,94.16927337646484,-46.062129974365234,15,-1
1,*,25.757076263427734,24.407108306884766,-118.55892181396484,15,-1
2,*,141.733642578125,74.51346588134766,-279.6094055175781,15,-1
3,*,329.8276062011719,76.05054473876953,-428.6405944824219,15,-1
4,*,444.8746643066406,75.34307098388672,-384.4324951171875,15,-1
5,*,865.260498046875,64.07424926757812,-56.65877151489258,15,-1
6,*,835.6547241210938,18.49481964111328,200.93553161621094,15,-1
7,*,699.22216796875,9.066597938537598,282.9383544921875,15,-1
8,*,615.8255615234375,4.791918754577637,483.1089172363281,15,-1
9,*,435.4866638183594,2.0964910984039307,633.2103271484375,15,-1
10,*,269.67156982421875,63.0765266418457,493.0118103027344,15,-1
11,*,76.79837799072266,62.74284744262695,415.0611877441406,15,-1
12,*,-194.3505096435547,62.01524353027344,380.5794982910156,15,-1
13,*,-442.1773986816406,72.75785827636719,302.8138427734375,15,-1
14,*,-565.0758666992188,93.10608673095703,302.0624084472656,15,-1
15,*,-566.9492797851562,117.83088684082031,188.584228515625,15,-1
16,*,-420.08941650390625,140.91595458984375,100.93611145019531,15,-1
17,*,-492.30682373046875,99.81002044677734,-144.60565185546875,15,-1
18,*,-727.685546875,89.79985046386719,-175.17471313476562,15,-1
19,*,-960.1487426757812,97.9792709350586,-184.06959533691406,15,-1
20,*,-727.4503784179688,89.80393981933594,-175.579833984375,15,-1
21,*,-519.649658203125,99.00292205810547,-146.9419708251953,15,-1
22,end,-377.5289611816406,94.13825988769531,-70.01899719238281,15,-1
-1,reset,-857.3446044921875,115.9239730834961,-117.42028045654297,5,-1
