STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,278.60064697265625,197.5481414794922,579.1841430664062,15,-1
1,*,68.94384765625,169.3436737060547,500.64300537109375,15,-1
2,*,-64.94530487060547,153.00253295898438,571.0699462890625,15,-1
3,*,-182.6947021484375,150.92214965820312,520.7626953125,15,-1
4,*,-299.91290283203125,167.82081604003906,562.700927734375,15,-1
5,*,-547.8234252929688,177.06838989257812,534.5361328125,15,-1
6,*,-564.8203125,168.08119201660156,373.3528137207031,15,-1
7,*,-621.9822387695312,176.51951599121094,200.08163452148438,15,-1
8,*,-551.9869995117188,177.5472869873047,110.21639251708984,15,-1
9,*,-623.5723876953125,165.64617919921875,-20.68290901184082,15,-1
10,*,-688.8235473632812,170.56192016601562,-128.0489044189453,15,-1
11,*,-665.4330444335938,203.00112915039062,-300.4945068359375,15,-1
12,*,-557.4943237304688,187.6600799560547,-317.06610107421875,15,-1
13,*,-412.1346130371094,156.0406036376953,-283.842041015625,15,-1
14,*,-201.9483184814453,148.43881225585938,-399.234619140625,15,-1
15,*,7.792558193206787,137.22256469726562,-336.1494140625,15,-1
16,*,153.6663360595703,111.42908477783203,-255.00257873535156,15,-1
17,*,381.0617980957031,56.945865631103516,-342.2392578125,15,-1
18,*,567.021240234375,50.38431167602539,-272.43707275390625,15,-1
19,*,728.4733276367188,75.13916015625,-170.1461944580078,15,-1
20,*,780.4743041992188,93.94783782958984,-46.618404388427734,15,-1
21,*,713.2291259765625,136.84352111816406,167.40975952148438,15,-1
22,*,608.907958984375,128.23443603515625,321.525634765625,15,-1
23,end,323.3775939941406,200.7928009033203,562.0556640625,15,-1
-1,reset,-127.40480041503906,163.0175323486328,710.1758422851562,5,-1
