STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-488.275146484375,18.72530174255371,-115.23296356201172,15,-1
1,*,-615.9192504882812,13.136777877807617,-160.00057983398438,15,-1
2,*,-708.3946533203125,16.05328369140625,-228.51573181152344,15,-1
3,*,-851.1032104492188,3.5352060794830322,-298.5448303222656,15,-1
4,*,-936.7885131835938,3.4958064556121826,-359.11822509765625,15,-1
5,*,-1070.2974853515625,3.165358066558838,-456.5922546386719,15,-1
6,*,-1120.3553466796875,-0.15312135219573975,-546.4869384765625,15,-1
7,*,-1010.6091918945312,8.139738082885742,-523.8092651367188,15,-1
8,*,-860.5242919921875,3.439709424972534,-513.5614624023438,15,-1
9,*,-726.3905639648438,8.516336441040039,-494.14117431640625,15,-1
10,*,-602.7183227539062,-0.16061988472938538,-506.22088623046875,15,-1
11,*,-522.1962890625,4.292359352111816,-358.7877197265625,15,-1
12,*,-446.2352600097656,5.251215934753418,-231.02560424804688,15,-1
13,*,-351.1544189453125,4.361148834228516,-139.12008666992188,15,-1
14,*,-357.63970947265625,4.484280109405518,-25.754291534423828,15,-1
15,end,-416.2919616699219,14.270232200622559,-119.60814666748047,15,-1
-1,reset,-341.88726806640625,5.271529674530029,2.4812705516815186,5,-1
