STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,42.03566360473633,86.8438949584961,-362.98223876953125,15,-1
1,*,-158.10650634765625,86.71639251708984,-261.8362731933594,15,-1
2,*,-315.508544921875,87.62732696533203,-219.3144073486328,15,-1
3,*,-385.8849182128906,87.5710678100586,-193.5889129638672,15,-1
4,*,-364.42999267578125,87.53346252441406,-107.0385971069336,15,-1
5,*,-318.3135070800781,87.38304901123047,0.5477151870727539,15,-1
6,*,-102.05952453613281,87.25189208984375,-104.81082153320312,15,-1
7,*,-117.8229751586914,87.17647552490234,-343.0271911621094,15,-1
8,*,-36.69015121459961,87.1387710571289,-323.30291748046875,15,-1
9,*,118.44644165039062,87.06375885009766,-297.8776550292969,15,-1
10,end,43.096031188964844,86.8438949584961,-362.91864013671875,15,-1
-1,reset,56.63253402709961,82.0871353149414,-334.17303466796875,5,-1
