STEP,STEPNAME,X,Y,Z
0,start,973.8641967773438,92.5875473022461,15.778453826904297
1,*,936.008544921875,103.47288513183594,-19.669998168945312
2,*,830.8279418945312,92.57472229003906,-89.4357681274414
3,*,781.4495239257812,93.41929626464844,-46.688812255859375
4,*,781.5689697265625,122.95793151855469,45.18153381347656
5,*,748.8860473632812,134.9112548828125,131.6709747314453
6,*,673.85986328125,144.7621307373047,169.89735412597656
7,*,611.09521484375,177.8789520263672,145.8362274169922
8,*,539.0078735351562,200.459228515625,139.1833953857422
9,*,457.9120788574219,247.68832397460938,116.0407943725586
10,*,331.0876159667969,232.45175170898438,96.15530395507812
11,*,289.86456298828125,225.2124786376953,47.38027572631836
12,*,264.7859191894531,203.03857421875,-19.793725967407227
13,*,233.24942016601562,175.42404174804688,-92.18289184570312
14,*,171.30364990234375,150.04869079589844,-100.30455017089844
15,*,118.99586486816406,135.9033966064453,-74.06490325927734
16,*,79.34422302246094,123.19149017333984,-13.365345001220703
17,*,53.79345703125,124.96444702148438,87.97317504882812
18,*,53.71144104003906,144.60250854492188,150.48573303222656
19,*,49.81386947631836,179.13938903808594,255.3022003173828
20,*,21.302322387695312,199.49887084960938,339.0617370605469
21,*,5.660638809204102,187.44900512695312,400.9035339355469
22,*,50.143943786621094,181.36045837402344,451.3528137207031
23,*,6.4201202392578125,167.91371154785156,509.8965148925781
24,*,-56.71373748779297,154.3566436767578,564.3525390625
25,*,-122.82568359375,149.10910034179688,553.5899047851562
26,*,-182.63485717773438,150.90415954589844,522.214111328125
27,*,-281.2282409667969,167.77603149414062,561.5602416992188
28,*,-386.642333984375,164.653076171875,560.0154418945312
29,*,-457.821044921875,171.29647827148438,550.8641967773438
30,*,-545.5316772460938,177.32479858398438,535.1253662109375
31,*,-559.0528564453125,171.43002319335938,432.1690673828125
32,*,-611.4022827148438,160.64366149902344,249.6494140625
33,*,-616.2676391601562,177.1094207763672,182.985107421875
34,*,-556.5928955078125,177.60324096679688,116.46578216552734
35,*,-550.2388305664062,169.84617614746094,61.669246673583984
36,*,-639.5322875976562,166.4387969970703,-39.728694915771484
37,*,-710.006591796875,156.836181640625,-50.19661331176758
38,*,-732.109130859375,166.2698974609375,6.966457843780518
39,*,-691.7984619140625,173.47572326660156,48.84237289428711
40,*,-616.3395385742188,166.23956298828125,115.55426025390625
41,end,-556.8407592773438,159.65516662597656,171.94532775878906
-1,reset,1013.5205078125,88.83114624023438,38.382999420166016
