STEP,STEPNAME,X,Y,Z
0,start,877.1676635742188,428.8018798828125,50.82432174682617
-1,reset,932.6641845703125,418.795166015625,53.32091522216797
1,*,819.204345703125,323.963623046875,39.1912956237793
2,*,603.0380249023438,335.5285949707031,93.37494659423828
3,*,564.6641235351562,336.8139343261719,303.9140319824219
4,*,533.5425415039062,336.4484558105469,406.2262878417969
5,*,439.9372253417969,365.7117919921875,266.8668518066406
6,*,550.8067016601562,366.7596130371094,261.3218688964844
7,*,730.404296875,368.8663330078125,234.38641357421875
8,*,925.6776123046875,361.9156494140625,312.4433898925781
9,*,814.8397216796875,340.30828857421875,386.6462097167969
10,end,660.4026489257812,339.56341552734375,357.9527282714844
