STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-18.635488510131836,697.1012573242188,-122.37394714355469,15
1,*,-53.23954391479492,651.9179077148438,-183.54940795898438,15
2,*,12.99697208404541,612.20068359375,-97.45441436767578,15
3,*,12.419279098510742,515.576416015625,-98.83480072021484,15
4,*,76.36898803710938,463.4498291015625,64.8173828125,15
5,*,33.72665023803711,341.8424377441406,101.80732727050781,15
6,*,105.29768371582031,266.25091552734375,108.32994079589844,15
7,*,248.00514221191406,238.97689819335938,211.797607421875,15
8,*,197.06573486328125,116.6422119140625,287.5549621582031,15
9,*,317.9498596191406,113.77933502197266,52.19343566894531,15
10,*,327.3724060058594,28.133108139038086,105.78001403808594,15
11,*,0.04249388724565506,60.481956481933594,-248.66407775878906,15
12,*,-256.9715270996094,9.266724586486816,-203.13601684570312,15
13,*,-151.37716674804688,20.589920043945312,-84.9168930053711,15
14,*,-187.3677978515625,19.394155502319336,-25.858177185058594,15
15,*,-248.5675811767578,6.500158786773682,79.4009780883789,15
16,*,-310.8449401855469,3.3334803581237793,171.03607177734375,15
17,*,-161.40927124023438,4.833661079406738,376.50604248046875,15
18,*,5.326584815979004,55.75891876220703,191.759521484375,15
19,*,-102.55139923095703,53.58735656738281,211.80050659179688,15
20,end,-31.685441970825195,68.32271575927734,-17.904739379882812,15
