STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-19.86454200744629,-0.1592172086238861,-261.117431640625,15,-1
1,*,113.63361358642578,-0.2530783414840698,-77.53019714355469,15,-1
2,*,60.76938247680664,17.724369049072266,-289.3290710449219,15,-1
3,*,-223.55702209472656,34.400203704833984,-189.19126892089844,15,-1
4,*,-361.7702941894531,58.83406448364258,-276.5500183105469,15,-1
5,*,-336.16558837890625,49.821102142333984,6.462531566619873,15,-1
6,*,-252.719970703125,80.70780181884766,-186.6299591064453,15,-1
7,*,-199.26992797851562,66.7448501586914,-264.5733337402344,15,-1
8,*,-207.02932739257812,67.09442901611328,-410.86663818359375,15,-1
9,*,-100.69427490234375,75.29331970214844,-517.4632568359375,20,-1
10,*,-15.3045072555542,67.7309799194336,-386.3380432128906,15,-1
11,*,206.3370819091797,87.13011169433594,-326.5565185546875,15,-1
12,*,314.5205078125,58.65764236450195,-470.0523986816406,15,-1
13,*,237.53880310058594,33.72417449951172,-408.498779296875,15,-1
14,*,292.57867431640625,9.680091857910156,-379.74591064453125,15,-1
15,*,-44.52470397949219,18.808568954467773,-454.44403076171875,15,-1
16,end,-102.08140563964844,19.195619583129883,-412.7164001464844,15,-1
-1,reset,-119.6797103881836,26.54634666442871,-442.6187744140625,4,-1
