STEP,STEPNAME,X,Y,Z,RADIUS
0,start,224.55166625976562,39.265445709228516,-183.84695434570312,20
-1,reset,371.8255615234375,34.51580810546875,-312.5308532714844,15
1,*,95.45573425292969,39.3543586730957,-134.51316833496094,15
2,*,330.8797912597656,71.93191528320312,-50.268699645996094,15
3,*,190.07296752929688,81.49394989013672,-238.8912811279297,15
4,*,284.12432861328125,108.53623962402344,190.25689697265625,15
5,*,-233.09353637695312,115.42216491699219,257.218017578125,15
6,*,-124.70375061035156,153.4617462158203,224.7946014404297,15
7,*,-93.51384735107422,70.74862670898438,-282.5950012207031,15
8,*,341.3056640625,43.79768371582031,-48.607601165771484,15
9,end,273.6178283691406,43.74123001098633,-162.81044006347656,15
