STEP,STEPNAME,X,Y,Z
0,start,-377.0204772949219,539.04736328125,346.1383972167969
-1,reset,-380.60833740234375,539.04736328125,383.3183898925781
1,*,-340.7969665527344,508.7826232910156,187.6642608642578
2,*,-245.1660614013672,485.6564636230469,164.18154907226562
3,*,-154.7891845703125,461.6702575683594,200.6862335205078
4,*,-92.87454223632812,423.6786193847656,267.14056396484375
5,*,57.37637710571289,322.99383544921875,156.79269409179688
6,*,70.39191436767578,339.3861999511719,24.64472198486328
7,*,193.3493194580078,260.66650390625,25.842971801757812
8,*,189.77708435058594,243.12185668945312,-13.069635391235352
9,*,228.41561889648438,251.1190185546875,41.37659454345703
10,*,114.86067199707031,236.76632690429688,267.788818359375
11,*,33.00886154174805,240.21478271484375,187.02098083496094
12,*,25.641584396362305,228.97906494140625,54.36286926269531
13,*,-248.52142333984375,201.74917602539062,48.09796905517578
14,*,-178.96502685546875,232.6542510986328,-51.399253845214844
15,*,-5.782658100128174,198.9523162841797,-64.27452087402344
16,*,-54.790260314941406,179.54214477539062,34.35909652709961
17,*,97.7330551147461,162.32785034179688,100.89722442626953
18,*,-24.410764694213867,110.24755859375,79.32635498046875
19,*,80.2082748413086,4.4645490646362305,-114.06653594970703
20,*,208.544189453125,1.2664248943328857,-126.42411804199219
21,end,323.6837463378906,13.419072151184082,-246.71844482421875
