STEP,STEPNAME,X,Y,Z
0,start,201.35711669921875,1.3611438274383545,338.6422424316406
-1,reset,35.67767333984375,111.35904693603516,-7.0208282470703125
1,*,260.9078063964844,-0.2520551085472107,184.4781951904297
2,*,252.27626037597656,-0.3422906994819641,-85.70833587646484
3,*,311.3578186035156,13.1177978515625,-136.38706970214844
4,*,236.6670379638672,13.00478744506836,-122.5263900756836
5,*,251.88092041015625,38.18278503417969,-257.664794921875
6,*,128.6078338623047,21.9537410736084,-312.985595703125
7,*,242.87010192871094,21.821880340576172,-184.08132934570312
8,*,350.7280578613281,-0.009212090633809566,-227.076416015625
9,*,173.46556091308594,-0.14162470400333405,-305.6795959472656
10,*,-11.762258529663086,-0.23548580706119537,-211.13157653808594
11,*,-6.370926856994629,-0.2730898857116699,-101.32943725585938
12,*,31.25800895690918,-0.4420596659183502,-97.71809387207031
13,*,-87.70822143554688,6.22565221786499,-234.3789520263672
14,*,-208.81771850585938,24.214252471923828,-224.16934204101562
15,*,-247.65658569335938,19.899511337280273,-3.4205453395843506
16,*,-209.4196319580078,10.301547050476074,15.616419792175293
17,*,-254.21939086914062,-0.10273075848817825,130.08885192871094
18,*,-143.01113891601562,0.006905913818627596,298.4336853027344
19,end,86.94275665283203,-0.12232957780361176,333.69049072265625
