STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-360.0869445800781,175.49484252929688,-205.55178833007812,15,217.56716338827113
1,*,-386.8089904785156,171.6117706298828,-128.438720703125,15,-1
2,*,-301.6602783203125,155.7831573486328,-319.6001281738281,15,-1
3,*,-394.04437255859375,155.8771209716797,-135.4925994873047,15,-1
4,*,-260.21343994140625,156.2090301513672,-69.78964233398438,15,-1
5,*,-307.56048583984375,102.3115005493164,-233.37472534179688,15,-1
6,*,-161.14990234375,102.34761810302734,-224.14952087402344,15,-1
7,*,-269.5915222167969,70.63088989257812,-139.80796813964844,15,-1
8,*,-395.66448974609375,70.7237548828125,-162.1775665283203,15,-1
9,*,-414.0387268066406,71.96697998046875,-116.31414031982422,15,-1
10,*,-270.58038330078125,58.44789505004883,-40.84916305541992,15,-1
11,*,-294.34490966796875,58.69097900390625,54.2458610534668,15,-1
12,*,-220.98037719726562,52.3093147277832,-83.58638000488281,15,-1
13,*,-204.58648681640625,52.49227523803711,-152.1004638671875,15,-1
14,*,-356.3132019042969,52.680294036865234,-98.72213745117188,15,-1
15,*,-111.99472045898438,20.98529815673828,172.3186798095703,15,-1
16,end,-247.9952392578125,20.950176239013672,-26.269216537475586,15,-1
-1,reset,-315.2099609375,171.59616088867188,-301.6400451660156,5,-1
