STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-356.4029541015625,171.94967651367188,-212.7090606689453,15,-1
1,*,-370.7669677734375,156.14707946777344,-212.1334686279297,15,-1
2,*,-308.6156005859375,121.2361831665039,-120.68824768066406,15,-1
3,*,-327.7947082519531,102.8411636352539,-201.365966796875,15,-1
4,*,-159.16651916503906,102.63439178466797,-228.38941955566406,15,-1
5,*,-304.5000305175781,82.8069839477539,-270.5866394042969,15,-1
6,*,-338.8320617675781,71.1181869506836,-136.31297302246094,15,-1
7,*,-218.50982666015625,53.06380844116211,-88.65975189208984,15,-1
8,*,-214.0032501220703,52.83778762817383,-229.69705200195312,15,-1
9,*,-221.67678833007812,49.845943450927734,151.43603515625,15,-1
10,*,-367.1244201660156,83.5661849975586,-36.44268035888672,15,-1
11,*,-186.96194458007812,101.26593780517578,-189.60374450683594,15,-1
12,*,-322.96051025390625,129.477294921875,-196.41732788085938,15,-1
13,*,-123.91108703613281,145.3297119140625,-309.4803161621094,15,-1
14,*,-241.49319458007812,156.50489807128906,-346.1546630859375,15,-1
15,end,-335.1983337402344,171.94728088378906,-243.30076599121094,15,-1
-1,reset,-171.8406219482422,26.196605682373047,-435.20794677734375,5,-1
-1,reset,-119.4769287109375,26.546356201171875,-442.5437927246094,5,-1
