STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-359.3114319,171.9496765,-206.6464386,19,-1
1,*,-272.5935669,156.1979523,-312.0660095,19,-1
2,*,-396.3485107,156.0852966,-135.1112518,19,-1
3,*,-258.6734619,157.9273987,-65.83347321,19,-1
4,*,-368.0364685,114.9633484,-140.7562561,19,-1
5,*,-220.1908112,102.6954117,-338.8831787,19,-1
6,*,-108.0237427,102.638855,-286.3389587,19,-1
7,*,-145.0824127,102.6013336,-169.0167236,19,-1
8,*,-178.1941528,102.5261383,-277.3841858,19,-1
9,*,-224.325882,96.90320587,-160.9573364,19,-1
10,*,-315.3317566,88.7910614,-270.242157,19,-1
11,*,-219.1429138,71.29637909,-258.770752,19,-1
12,*,-226.920517,71.20252228,-158.2041779,19,-1
13,*,-395.4624939,71.12592316,-160.6585388,19,-1
14,*,-302.3645935,71.0994339,-115.5714874,19,-1
15,*,-272.9163208,58.83596802,-179.8199615,19,-1
16,*,-293.9267578,58.70430756,-0.073224977,19,-1
17,*,-217.4898224,53.02620316,-88.7536087,19,-1
18,*,-315.6870117,52.95079803,-39.47602463,19,-1
19,*,-204.4133301,52.89434052,-25.17119598,19,-1
20,*,-229.8846283,53.13581467,-235.3945313,19,-1
21,*,-347.1928101,52.79129791,-188.8267365,19,-1
22,*,-302.7498474,44.91015625,-31.49243927,19,-1
23,*,-111.5239105,21.13059044,174.9432526,19,-1
24,end,-245.5775757,21.09655762,-24.06971741,19,-1
-1,reset,-265.7178649902344,172.0059356689453,-311.42584228515625,5,-1
-1,reset,-119.76753234863281,26.546356201171875,-442.58111572265625,5,-1

