STEP,STEPNAME,X,Y,Z
0,start,207.56521606445312,606.3136596679688,-17.512130737304688
1,*,98.13876342773438,599.3966674804688,51.29545211791992
2,*,25.08453941345215,554.7716674804688,265.9993591308594
3,*,78.2818374633789,560.4483032226562,131.74822998046875
4,*,38.86553192138672,493.0656433105469,-49.07765579223633
5,*,143.82009887695312,492.99053955078125,183.00282287597656
6,*,43.40660858154297,464.81207275390625,121.12203216552734
7,*,47.11284637451172,464.905517578125,51.93050765991211
8,*,-143.70155334472656,459.8843078613281,-84.00666046142578
9,*,-237.65980529785156,441.9979553222656,-170.239501953125
10,*,-1.8131815195083618,381.9194641113281,-259.3775634765625
11,*,200.57330322265625,256.8930969238281,-73.27066802978516
12,*,248.67852783203125,244.5941162109375,-285.07513427734375
13,*,-62.110965728759766,244.53775024414062,-261.84197998046875
14,*,-46.29912185668945,245.79156494140625,-62.054222106933594
15,*,22.61244773864746,183.16357421875,1.8832677602767944
16,*,34.92384719848633,114.26980590820312,-20.065576553344727
17,*,-36.034976959228516,114.38212585449219,-12.9306058883667
18,*,88.44131469726562,77.3802261352539,-15.655632972717285
19,end,2.6630239486694336,70.67269897460938,-1.0422884225845337
-1,reset,2.6314125061035156,61.32834243774414,-38.554229736328125
