STEP,STEPNAME,X,Y,Z
0,start,-340.34381103515625,31.608903884887695,-503.2840576171875
1,*,-288.84039306640625,40.929264068603516,-369.9515075683594
2,*,-368.601806640625,40.60928726196289,-213.65589904785156
3,*,-340.845703125,15.129331588745117,-197.08267211914062
4,*,-283.8309631347656,14.828202247619629,-38.316856384277344
5,*,-164.51425170898438,21.070463180541992,-48.78425598144531
6,*,-47.68970489501953,20.747684478759766,-274.2578430175781
7,*,324.7033386230469,26.451799392700195,-399.4924621582031
8,*,258.48492431640625,7.360983371734619,-357.9364318847656
9,*,16.53875160217285,6.984149932861328,-198.84542846679688
10,*,-9.082216262817383,19.489601135253906,-359.3091125488281
11,*,66.35652160644531,25.752506256103516,-347.9462890625
12,*,-116.29798126220703,31.878877639770508,-459.7467346191406
13,end,-246.64573669433594,31.653156280517578,-594.017333984375
-1,reset,-119.6797103881836,26.543933868408203,-442.6187744140625
