STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,65.6417007446289,60.78280258178711,-258.489501953125,15,-1
1,*,48.2121467590332,30.024507522583008,-292.71356201171875,15,-1
2,*,15.504359245300293,5.18203592300415,-199.65084838867188,15,-1
3,*,57.279659271240234,22.411636352539062,-201.9481201171875,15,-1
4,*,15.383064270019531,25.22995376586914,-387.955078125,15,-1
5,*,-94.83917236328125,35.191741943359375,-494.518310546875,15,-1
6,*,-195.15802001953125,31.115617752075195,-580.9646606445312,15,-1
7,*,-263.0535583496094,36.22480010986328,-494.3851013183594,15,-1
8,*,-334.6823425292969,48.481117248535156,-336.4759826660156,15,-1
9,*,-201.27781677246094,62.29021072387695,-265.58721923828125,15,-1
10,*,-176.2480010986328,41.266807556152344,-400.62811279296875,15,-1
11,*,-242.81298828125,34.443519592285156,-162.534423828125,15,-1
12,*,164.73910522460938,0.6242178082466125,-10.823354721069336,15,-1
13,*,143.3731231689453,10.297532081604004,25.383907318115234,15,-1
14,*,186.05908203125,19.357145309448242,-323.04925537109375,17,54.07970353196764
15,end,228.49270629882812,3.911133050918579,-351.1348571777344,16,-1
-1,reset,120.64594268798828,67.02315521240234,-128.4918212890625,5,-1
-1,reset,-119.6797103881836,26.54634666442871,-442.6187744140625,5,-1
