STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-148.72840881347656,18.3374080657959,-534.686279296875,15,-1
1,*,-338.66070556640625,30.672714233398438,-477.79595947265625,20,-1
2,*,-146.2161102294922,62.307716369628906,-614.0676879882812,20,-1
3,*,-38.89263916015625,57.17686080932617,-452.9725036621094,20,-1
4,*,-92.97277069091797,45.863731384277344,-442.5484313964844,20,-1
5,*,-145.89808654785156,39.68534851074219,-409.0431823730469,20,-1
6,*,-128.5624542236328,39.70142364501953,-362.7684326171875,20,-1
7,*,-45.09986114501953,20.365036010742188,-384.9334716796875,20,-1
8,*,28.86688232421875,21.129850387573242,-254.47767639160156,20,-1
9,*,207.5594482421875,18.19188690185547,-93.44606018066406,20,-1
10,*,74.98042297363281,52.10102462768555,-34.14500427246094,20,-1
11,*,-147.5792694091797,3.2890594005584717,164.25784301757812,20,-1
12,*,45.031768798828125,32.13010787963867,179.0955352783203,20,-1
13,*,119.2389144897461,25.02427101135254,174.79136657714844,20,-1
14,*,264.5744323730469,2.686447858810425,-25.628686904907227,20,-1
15,*,44.0193977355957,-0.006290040444582701,18.987071990966797,20,-1
16,*,-338.7554931640625,28.60224723815918,-333.4486389160156,20,-1
17,*,-181.15663146972656,11.75363540649414,-492.2474365234375,20,-1
18,*,-42.00554275512695,18.231693267822266,-452.7687683105469,20,-1
19,*,-84.55268096923828,34.69292449951172,-179.61732482910156,20,-1
20,*,15.254060745239258,8.690617561340332,-201.85044860839844,20,-1
21,*,-202.0136260986328,62.37703323364258,-263.7681884765625,20,-1
22,*,-249.64100646972656,59.11176300048828,8.589517593383789,20,-1
23,*,-63.69646453857422,44.37923049926758,-111.52105712890625,20,-1
24,end,-118.23348236083984,18.854040145874023,-20.82065200805664,20,-1
-1,reset,-119.6797103881836,26.543933868408203,-442.6187744140625,5,-1
