STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-124.9881362915039,26.414676666259766,-319.29803466796875,15,-1
1,*,-162.73684692382812,34.57638168334961,-401.4299011230469,15,-1
2,*,-106.57056427001953,34.482215881347656,-313.8182678222656,15,-1
3,*,-132.3695526123047,45.01688766479492,-423.477783203125,15,-1
4,*,-37.6445198059082,63.722110748291016,-359.6834716796875,15,-1
5,*,-161.98388671875,109.88925170898438,-218.93653869628906,15,-1
6,*,-216.6118927001953,49.35050964355469,20.481422424316406,15,-1
7,*,-226.8277130126953,37.180477142333984,-123.02543640136719,15,-1
8,*,-273.3488464355469,12.658447265625,-55.89207077026367,15,-1
9,*,-186.8970947265625,12.526585578918457,14.216655731201172,15,-1
10,*,-174.76846313476562,51.583370208740234,10.73315715789795,15,-1
11,*,-124.77930450439453,61.00496292114258,43.3975830078125,15,-1
12,*,69.18302917480469,21.477558135986328,-1.273521065711975,15,-1
13,*,-66.49385070800781,43.79464340209961,6.339144706726074,15,-1
14,*,0.2210661768913269,43.791072845458984,55.93621063232422,15,-1
15,*,25.040119171142578,23.63950538635254,-69.26599884033203,15,-1
16,*,-90.73302459716797,8.256628036499023,-111.08841705322266,15,-1
17,*,-93.49357604980469,19.0218563079834,-337.73980712890625,15,-1
18,*,-96.88275909423828,20.6097412109375,-165.71029663085938,15,-1
19,*,13.916069030761719,1.2612656354904175,-199.6238250732422,15,-1
20,*,-199.25880432128906,66.63768768310547,-263.4703369140625,15,-1
21,*,-59.41675567626953,47.18033218383789,-357.3696594238281,15,-1
22,*,-3.9644455909729004,17.805437088012695,-296.6268310546875,15,-1
23,end,-12.286810874938965,17.79134178161621,-419.4596862792969,15,-1
-1,reset,-119.93047332763672,26.54806137084961,-442.3079528808594,5,-1
