STEP,STEPNAME,X,Y,Z
0,start,-88.574951171875,342.1067810058594,-162.2312469482422
1,*,-240.3427734375,360.3273010253906,-141.8498992919922
2,*,-303.5335693359375,356.4561767578125,-262.87982177734375
2,*,-282.0836486816406,357.1061096191406,-15.576652526855469
3,*,-367.2499694824219,356.96246337890625,-204.3860626220703
3,*,-366.30902099609375,356.7480773925781,-34.89990234375
4,*,-192.4468994140625,326.1972351074219,-148.00599670410156
5,*,141.95526123046875,286.41070556640625,-217.50265502929688
6,*,114.76583862304688,283.46795654296875,-31.160856246948242
7,*,194.71990966796875,253.08653259277344,-2.694774627685547
8,*,297.9241638183594,269.1683044433594,218.43287658691406
9,*,193.41343688964844,252.0082244873047,75.772216796875
10,*,13.662142753601074,236.46051025390625,99.38048553466797
11,*,122.05631256103516,191.4169921875,-51.75541687011719
12,*,-167.42799377441406,150.90977478027344,-70.56674194335938
13,*,-83.0905532836914,182.52658081054688,-186.61505126953125
14,*,99.86204528808594,182.48822021484375,-148.7058868408203
15,*,24.575111389160156,182.42152404785156,-220.63812255859375
16,*,132.03570556640625,206.12045288085938,-247.76373291015625
17,*,247.69732666015625,274.0363464355469,-132.60299682617188
18,*,311.1878356933594,337.6741027832031,2.0749876499176025
19,end,117.34745788574219,342.17877197265625,-191.6326904296875
-1,reset,35.675682067871094,111.35662841796875,-7.14730167388916
