STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,282.6352844238281,14.908897399902344,-159.1129608154297,15,-1
1,*,287.1721496582031,14.753125190734863,51.725677490234375,15,-1
2,*,285.87969970703125,-0.49742385745048523,292.6393127441406,15,-1
3,*,93.27249908447266,13.124802589416504,297.6609191894531,15,-1
4,*,259.7604675292969,14.897953033447266,157.99913024902344,15,-1
5,*,339.9580993652344,33.53360366821289,-125.47541046142578,15,-1
6,*,42.24586486816406,-0.08760172873735428,-283.2290954589844,15,-1
7,*,248.54466247558594,-0.20257601141929626,-298.8813171386719,15,-1
8,*,91.79837036132812,7.594942569732666,46.21990203857422,15,-1
9,*,-15.749133110046387,7.500883102416992,-66.27625274658203,15,-1
10,*,-10.692358016967773,-0.5085672736167908,-242.21067810058594,15,-1
11,*,-255.88577270507812,-0.6587847471237183,-173.1831817626953,15,-1
12,*,-236.53778076171875,23.59290313720703,46.52836608886719,15,-1
13,*,-177.02838134765625,52.08799743652344,-206.17129516601562,15,-1
14,*,-5.935330867767334,51.97627258300781,-115.02103424072266,15,-1
15,end,116.24332427978516,14.926528930664062,-119.09741973876953,15,-1
-1,reset,35.67767333984375,111.35904693603516,-7.0208282470703125,5,-1
