STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,156.4900360107422,162.8254852294922,-338.655029296875,15,-1
1,*,-16.71744728088379,162.72999572753906,-289.2134094238281,15,-1
2,*,-356.3803405761719,145.57424926757812,-313.4787292480469,15,-1
3,*,-248.73275756835938,145.49903869628906,-200.98416137695312,15,-1
4,*,-330.6167297363281,145.4181671142578,14.856283187866211,15,-1
5,*,-199.36534118652344,136.7617950439453,263.6189880371094,15,-1
6,*,21.01364517211914,82.80267333984375,353.5982971191406,15,-1
7,*,265.4638977050781,82.61465454101562,174.60739135742188,15,-1
8,*,348.4478759765625,82.50154113769531,-160.25363159179688,15,-1
9,*,106.64549255371094,49.71226119995117,-316.2344665527344,15,-1
10,*,-27.77743148803711,49.58069610595703,-19.941402435302734,15,-1
11,*,94.23944091796875,49.48653793334961,5.357347011566162,15,-1
12,*,133.6370849609375,1.8443752527236938,-141.94361877441406,15,-1
13,end,240.7970733642578,1.8430856466293335,-148.81996154785156,15,-1
-1,reset,266.2721862792969,190.15089416503906,-367.0627136230469,5,-1
