STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-62.30744171142578,5.9229044914245605,-273.4603271484375,15
1,*,66.54029846191406,5.705615043640137,-232.03128051757812,15
2,*,-183.38595581054688,20.909332275390625,-262.2598876953125,15
3,*,-273.4140930175781,69.49768829345703,44.3714599609375,15
4,*,143.9222412109375,94.87557220458984,307.9722900390625,15
5,*,298.2067565917969,118.28990173339844,-145.59210205078125,15
6,*,49.65652084350586,163.02444458007812,-162.7968292236328,15
7,*,-14.248501777648926,194.83204650878906,-53.362953186035156,15
8,*,-254.0087432861328,206.3364715576172,146.63824462890625,15
9,*,-224.5409698486328,171.40765380859375,53.50767135620117,15
10,*,-168.32492065429688,184.12890625,209.45701599121094,15
11,*,-168.97987365722656,205.8053741455078,278.476318359375,15
12,*,156.3937530517578,246.3131561279297,-38.728450775146484,15
13,*,190.35891723632812,278.51556396484375,107.63993835449219,15
14,*,120.26973724365234,284.7991638183594,278.0810852050781,15
15,*,299.6093444824219,316.6531677246094,169.43060302734375,15
16,*,37.89582061767578,329.4803771972656,62.022369384765625,15
17,*,-1.9611715078353882,342.23040771484375,15.749571800231934,15
18,*,192.714111328125,348.4844665527344,37.9306526184082,15
19,*,-20.150876998901367,380.4716491699219,139.07363891601562,15
20,*,-188.71981811523438,380.79034423828125,286.19696044921875,15
21,*,-58.79936981201172,380.8061218261719,-110.1382064819336,15
22,*,207.065673828125,380.8760681152344,-27.056474685668945,15
23,*,186.7265167236328,396.9351501464844,186.3297576904297,15
24,*,145.0294647216797,453.12432861328125,193.33804321289062,15
25,end,66.83330535888672,453.1646423339844,110.26466369628906,15
-1,reset,29.45465850830078,111.71356964111328,-24.24440574645996,5
