STEP,STEPNAME,X,Y,Z
0,start,-77.37826538085938,97.06571960449219,-298.22332763671875
1,*,-14.815229415893555,48.87451934814453,-75.05416870117188
2,*,-20.72066879272461,60.14629364013672,59.480472564697266
3,*,11.44450569152832,83.30302429199219,86.08384704589844
4,*,-33.47901916503906,94.74434661865234,234.8738555908203
5,*,79.89657592773438,90.31929779052734,-196.40296936035156
6,*,126.99937438964844,103.69020080566406,-109.5189208984375
7,*,-98.4698257446289,100.21232604980469,-17.669469833374023
8,*,69.90644836425781,85.6076889038086,156.94093322753906
9,*,-50.772682189941406,88.57437896728516,-66.38594055175781
10,end,-11.029016494750977,88.67980194091797,-11.233808517456055
-1,reset,-123.67723083496094,127.21479034423828,-352.7696838378906
