STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-472.7150573730469,2.4097063541412354,-896.0786743164062,5
1,*,-490.2528381347656,6.489529609680176,-895.0282592773438,3
2,*,-524.624755859375,7.505224704742432,-905.4728393554688,3
3,*,-555.1015014648438,6.973841190338135,-910.8285522460938,3
4,*,-561.95166015625,6.612496376037598,-911.4118041992188,3
5,*,-565.2939453125,6.378729343414307,-905.3080444335938,3
6,*,-561.290283203125,5.976967811584473,-900.412353515625,3
7,*,-524.5875244140625,4.754406452178955,-882.0151977539062,3
8,*,-482.25665283203125,9.345746994018555,-847.1312866210938,3
9,*,-505.6650085449219,8.528911590576172,-850.3834838867188,3
10,*,-553.866455078125,8.971884727478027,-873.7080688476562,3
11,end,-574.2837524414062,9.167271614074707,-769.732421875,3
-1,reset,-470.15966796875,2.3901500701904297,-905.2801513671875,5
