STEP,STEPNAME,X,Y,Z,RADIUS
0,start,-166.98550415039062,32.178985595703125,126.61750793457031,5
1,*,-172.70193481445312,79.83563995361328,145.74220275878906,10
2,*,-160.91441345214844,130.5992889404297,200.08082580566406,5
3,*,-198.8416290283203,139.879638671875,139.04969787597656,5
4,*,23.13173484802246,57.11767578125,51.129276275634766,3
5,*,63.25813293457031,41.1767578125,65.20768737792969,5
6,*,49.2431526184082,37.90215301513672,53.80403137207031,3
7,*,65.38826751708984,51.53677749633789,67.87019348144531,5
8,*,358.1192626953125,15.704747200012207,-63.45397186279297,5
9,*,335.06884765625,38.99654769897461,-47.653202056884766,5
10,*,369.6086120605469,58.5245475769043,-72.23223114013672,5
11,*,377.0193786621094,119.74163818359375,-74.19383239746094,2
12,*,348.7063293457031,112.89976501464844,-12.073552131652832,5
13,*,334.64019775390625,158.125,40.97394943237305,2
14,*,114.14118194580078,193.82476806640625,8.743082046508789,5
15,end,87.89886474609375,114.14753723144531,-37.2993049621582,2
-1,reset,-157.55580139160156,34.007144927978516,115.27153778076172,10
