STEP,STEPNAME,X,Y,Z
0,start,-41.13491439819336,575.1640014648438,-33.239620208740234
1,*,-178.68356323242188,559.631591796875,-84.2998046875
2,*,82.02726745605469,536.34765625,243.95167541503906
3,*,18.08723258972168,335.3516845703125,-312.6589050292969
4,*,346.721435546875,238.68946838378906,153.74200439453125
5,*,116.98570251464844,19.815046310424805,-85.17675018310547
6,*,-192.76580810546875,24.62775993347168,18.497264862060547
7,*,-219.75921630859375,66.1710433959961,306.29644775390625
8,end,-21.85562515258789,0.5628297924995422,-91.99592590332031
-1,reset,57.77702331542969,575.2439575195312,11.571967124938965
-1,reset,3.170306921005249,61.32920455932617,-35.677032470703125
