STEP,STEPNAME,X,Y,Z
0,start,24.269977569580078,16.183862686157227,-40.50206756591797
1,*,9.049388885498047,39.9488525390625,82.58651733398438
2,*,-11.155280113220215,40.044132232666016,289.6002502441406
3,*,99.26748657226562,23.069229125976562,192.68919372558594
4,*,98.61570739746094,23.08808135986328,282.6737365722656
5,*,139.25704956054688,42.244361877441406,346.36370849609375
6,*,205.88778686523438,29.56764030456543,217.02557373046875
7,*,208.2991485595703,36.79213333129883,5.360412120819092
8,end,109.66463470458984,36.829837799072266,-21.301481246948242
-1,reset,114.61094665527344,9.075913429260254,37.21352005004883
