STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-188.5636902,1.376387239,272.7384033,15,-1
1,*,-136.7496948,0.771931171,292.4608765,15,-1
2,*,-35.56851196,-1.05631125,342.6037292,15,-1
3,*,76.33402252,-1.05631125,343.6104736,15,-1
4,*,131.001358,-1.05631125,299.3580627,15,-1
5,*,213.3735809,-1.056335211,278.1289368,15,-1
6,*,231.8216248,-1.056335211,219.3050079,15,-1
7,*,243.692627,-1.056335211,95.40953827,15,-1
8,*,256.5162964,-1.056335211,1.752077222,15,-1
9,*,228.6687469,-1.056335211,-117.1786728,15,-1
10,*,217.4777985,-1.056335211,-243.0524902,15,-1
11,*,181.256424,-1.056335211,-265.5552673,15,-1
12,*,112.4512863,-1.056335211,-273.9833679,15,-1
13,*,36.49516678,-1.056335211,-267.3029785,15,-1
14,*,2.06464386,-1.056335211,-285.5102844,15,-1
15,*,6.212505817,-1.056335211,-312.7375488,15,-1
16,*,44.31768799,-1.056335211,-337.4073486,15,-1
17,*,23.25614166,-1.056335211,-360.2024841,15,-1
18,*,-13.40402126,-1.056335211,-358.2867432,15,-1
19,*,-103.2326813,-1.056335211,-348.5100403,15,-1
20,*,-217.0650024,-1.056335211,-343.2165527,15,-1
21,*,-265.5809021,-1.056335211,-291.1236267,15,-1
22,*,-265.6742554,-1.056335211,-245.5222321,15,-1
23,*,-206.7462006,-1.055288792,-237.8348999,15,-1
24,*,-184.2671356,-1.056335211,-183.99823,15,-1
25,*,-183.9572906,-1.056335211,-118.8088531,25,-1
26,*,-253.4917755,-1.056335211,-101.4444733,15,-1
27,*,-296.5703125,-1.056335211,-63.90952301,15,-1
28,*,-335.5357361,-1.056335211,-21.68822861,15,-1
29,*,-329.8702087,-1.056335211,25.11694336,15,-1
30,*,-288.9583435,-1.056335211,55.45625687,15,-1
31,*,-329.514801,-1.056335211,112.4634018,15,-1
32,*,-322.3015442,-1.056335211,201.8825378,15,-1
33,end,-225.3329773,-1.056335211,240.6831512,15,-1
