STEP,STEPNAME,X,Y,Z
0,start,-258.2337646,-1.056315303,306.7688599
1,*,-310.0775757,-1.056315303,362.1074524
2,*,-379.4613342,-1.056315303,391.5140991
3,*,-475.6184998,-1.056315303,474.092865
4,*,-540.3815308,-1.056315303,509.695343
5,*,-602.2278442,-1.056315303,505.8909912
6,*,-649.6901855,-1.056315303,503.7208252
7,*,-691.2042847,-1.056315303,473.1778564
8,*,-702.703125,-1.056315303,406.121521
9,*,-683.0469971,-1.056315303,357.8280945
10,*,-607.6380615,-1.056315303,296.2599182
11,*,-532.5016479,-1.056315303,265.1486206
12,*,-446.3664246,-1.056315303,237.7677765
13,*,-382.5001526,-1.056315303,223.5758667
14,*,-337.499176,-1.056315303,173.2147675
15,*,-321.2013245,-1.056315303,122.3385696
16,*,-330.0559998,-1.056315303,63.82052612
17,*,-334.7952271,-1.056315303,6.126487255
18,*,-323.817688,-1.056315303,-55.12327576
19,*,-321.1723022,-1.056315303,-122.8827667
20,*,-337.0042419,-1.056315303,-174.2122955
21,*,-345.1659851,-1.056315303,-233.4533386
22,*,-313.8314819,-1.056315303,-262.1487732
23,*,-277.6349792,-1.056315303,-226.2975159
24,*,-292.3659363,-1.056315303,-166.9699249
25,*,-306.6018372,-1.056315303,-77.4484787
26,*,-321.4547729,-1.056315303,-18.02172852
27,*,-311.6638794,-1.056315303,37.91888428
28,*,-288.7929382,-1.056315303,66.50069427
29,*,-251.2434998,-1.056315303,93.86994171
30,*,-219.5138855,-1.056315303,135.7566986
31,*,-202.7820282,-1.056315303,179.8386078
32,end,-221.3130798,-1.056315303,250.3254242
