STEP,STEPNAME,X,Y,Z
0,start,-799.442138671875,65.7823257446289,355.7180480957031
-1,reset,-851.652587890625,66.03923797607422,391.6478576660156
1,*,-699.8272705078125,23.893230438232422,-44.24618911743164
2,*,-611.359619140625,40.56562423706055,-113.68000030517578
3,*,-618.2125244140625,27.34697151184082,-303.1869201660156
4,*,-393.02789306640625,4.553216934204102,-559.7305908203125
5,*,-299.12213134765625,27.9654541015625,-435.876953125
6,*,-377.175048828125,20.820322036743164,-267.90020751953125
7,*,33.68626022338867,43.313297271728516,-233.00523376464844
8,*,258.9540710449219,46.97104263305664,-222.0779266357422
9,*,326.4122314453125,41.9850959777832,-387.8382873535156
10,*,300.7703857421875,28.654491424560547,-543.6235961914062
11,*,357.5238952636719,35.345149993896484,-630.9033203125
12,*,665.6546630859375,55.883975982666016,-568.7774047851562
13,*,851.6265258789062,45.196346282958984,-61.594444274902344
14,*,824.1830444335938,78.1462631225586,324.7612609863281
15,*,865.7689208984375,41.68893051147461,525.5531616210938
16,*,496.33392333984375,92.67289733886719,552.6304321289062
17,*,99.04247283935547,66.29413604736328,605.229248046875
18,*,-47.385406494140625,-0.24002154171466827,603.7735595703125
19,*,-133.09849548339844,0.28277185559272766,690.7421875
20,*,-558.9813232421875,43.84546661376953,622.4324340820312
21,*,-702.5592651367188,63.19841766357422,536.9096069335938
22,end,-826.1544189453125,66.1941909790039,445.2254333496094
