STEP,STEPNAME,X,Y,Z
0,start,172.08766174316406,6.024808883666992,-547.970458984375
-1,reset,239.65151977539062,2.9369618892669678,-550.4412231445312
1,*,29.13327980041504,55.82658004760742,-583.2632446289062
2,*,-51.2392692565918,79.49896240234375,-379.94647216796875
3,*,-9.615543365478516,78.45231628417969,-309.3282470703125
4,*,-48.472530364990234,62.86130142211914,-106.99578094482422
5,*,-100.83071899414062,71.53402709960938,52.68389129638672
6,*,-91.94183349609375,61.61763381958008,112.29816436767578
7,*,-147.08193969726562,71.2541275024414,198.99038696289062
8,*,-417.5687561035156,74.10258483886719,162.71331787109375
9,*,-488.59130859375,71.60765838623047,27.125934600830078
10,*,-427.56011962890625,52.862422943115234,-114.37564849853516
11,*,-320.72216796875,9.928861618041992,-265.4931335449219
12,*,-46.586875915527344,51.671600341796875,-164.40892028808594
13,*,50.92682647705078,42.65714645385742,-338.25128173828125
14,end,166.60678100585938,1.3314199447631836,-490.23712158203125
