STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,78.08819580078125,269.9497375488281,836.5122680664062,15,-1
1,*,75.46507263183594,272.1443786621094,763.7286376953125,15,-1
2,*,97.2020263671875,231.99354553222656,617.4924926757812,15,-1
3,*,54.77793502807617,221.37620544433594,572.8048706054688,15,-1
4,*,-45.49034881591797,208.48681640625,503.9753112792969,15,-1
5,*,-103.49832916259766,204.13829040527344,492.92645263671875,15,-1
6,*,-94.3699722290039,193.85665893554688,441.1416931152344,15,-1
7,*,-19.81694793701172,201.95465087890625,434.562744140625,15,-1
8,*,49.15216827392578,206.6604766845703,412.4419250488281,15,-1
9,*,123.75118255615234,205.92349243164062,412.800048828125,15,-1
10,*,197.47735595703125,203.1605987548828,444.2449645996094,15,-1
11,*,260.1769714355469,208.49867248535156,438.7598876953125,15,-1
12,*,336.9565734863281,211.39849853515625,449.88604736328125,15,-1
13,*,371.9117431640625,212.9752960205078,486.6254577636719,15,-1
14,*,384.40484619140625,210.69432067871094,568.0877685546875,15,-1
15,*,443.467529296875,219.60804748535156,581.9321899414062,15,-1
16,*,487.1170654296875,214.39602661132812,499.4937438964844,15,-1
17,*,483.58111572265625,207.95938110351562,414.8476867675781,15,-1
18,*,445.1794128417969,206.36865234375,375.71673583984375,15,-1
19,*,373.69427490234375,194.5517120361328,329.8621826171875,15,-1
20,*,331.02850341796875,180.59312438964844,288.2298278808594,15,-1
21,*,287.7313232421875,146.41197204589844,203.2921600341797,15,-1
22,*,296.3944091796875,133.0950927734375,134.0735321044922,15,-1
23,*,365.79473876953125,116.1322250366211,15.918624877929688,15,-1
24,*,434.9986572265625,52.712684631347656,-110.37255096435547,15,-1
25,*,433.8810119628906,56.906463623046875,-150.21133422851562,15,-1
26,*,397.41619873046875,54.72917175292969,-150.564697265625,15,-1
27,*,328.3286437988281,53.37352752685547,-131.59933471679688,15,-1
28,*,234.6496124267578,50.67458724975586,-127.83113861083984,15,-1
29,*,199.16343688964844,77.96088409423828,-87.2083511352539,15,-1
30,*,164.55654907226562,94.7398910522461,-22.061391830444336,15,-1
31,*,69.05992126464844,124.37454223632812,143.61000061035156,15,-1
32,*,3.0732741355895996,129.93157958984375,157.07130432128906,15,-1
33,*,-77.30863189697266,133.50448608398438,150.72882080078125,15,-1
34,*,-134.7177734375,140.44471740722656,114.91473388671875,15,-1
35,*,-174.34042358398438,139.15866088867188,106.20649719238281,15,-1
36,*,-204.58811950683594,137.82752990722656,64.27143096923828,15,-1
37,*,-204.91351318359375,123.1305923461914,-4.359210968017578,15,-1
38,*,-149.53668212890625,86.16832733154297,-132.9374542236328,15,-1
39,*,-190.4552001953125,43.980525970458984,-266.7079162597656,15,-1
40,*,-162.0840606689453,28.31870460510254,-332.35137939453125,15,-1
41,*,-77.839111328125,8.394187927246094,-376.5252990722656,15,-1
42,*,-5.964285373687744,0.22423483431339264,-384.66558837890625,15,-1
43,*,45.812950134277344,6.3231201171875,-405.21368408203125,15,-1
44,*,83.63028717041016,16.57959747314453,-444.35662841796875,15,-1
45,*,66.74224090576172,17.643388748168945,-467.6493835449219,15,-1
46,*,31.89322853088379,21.016841888427734,-458.63031005859375,15,-1
47,*,-21.952373504638672,22.222700119018555,-497.5465393066406,15,-1
48,*,-26.934831619262695,16.618425369262695,-613.1776123046875,15,-1
49,*,-21.610279083251953,1.922052025794983,-758.6903076171875,15,-1
50,*,-66.87627410888672,24.398210525512695,-792.9928588867188,15,-1
51,*,-210.91778564453125,1.105186939239502,-802.1256103515625,15,-1
52,*,-254.74057006835938,2.476644515991211,-820.0469970703125,15,-1
53,*,-289.36175537109375,1.697655439376831,-870.4661254882812,15,-1
54,*,-298.5319519042969,0.17611132562160492,-918.40185546875,15,-1
55,*,-242.46209716796875,1.5739352703094482,-932.6644897460938,15,-1
56,*,-184.69911193847656,5.1438117027282715,-914.32177734375,15,-1
57,*,-127.17664337158203,3.598999261856079,-863.85595703125,15,-1
58,*,-68.6753158569336,1.8328031301498413,-849.4794921875,15,-1
59,*,-3.0958237648010254,5.425162315368652,-869.879150390625,15,-1
60,*,61.60577392578125,-0.1451399028301239,-912.05810546875,15,-1
61,*,99.70035552978516,1.1806262731552124,-911.0126342773438,15,-1
62,*,150.76223754882812,2.1574103832244873,-894.5699462890625,15,-1
63,end,279.9649658203125,1.9269770383834839,-850.4268798828125,15,-1
-1,reset,76.07431030273438,274.4334411621094,899.6696166992188,5,-1
