STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-357.0525817871094,119.09156799316406,-225.11834716796875,15,-1
1,*,-323.791748046875,104.66682434082031,-30.26459312438965,15,-1
2,*,-316.7923583984375,95.11792755126953,114.991455078125,15,-1
3,*,-278.8962707519531,97.63327026367188,155.93487548828125,15,-1
4,*,21.352373123168945,68.18059539794922,78.84822082519531,15,-1
5,*,50.10994338989258,85.77680206298828,164.5132598876953,15,-1
6,*,276.9891357421875,72.47872161865234,164.09442138671875,15,-1
7,*,419.1932678222656,72.58350372314453,238.586181640625,15,-1
8,*,420.2703552246094,72.46934509277344,302.0775146484375,15,-1
9,*,327.05987548828125,71.3975601196289,187.37249755859375,15,-1
10,*,300.4830627441406,19.213340759277344,42.25477981567383,15,-1
11,*,184.0751953125,35.9547233581543,-93.28581237792969,15,-1
12,*,50.85014724731445,28.876060485839844,-200.22459411621094,15,-1
13,*,149.86375427246094,19.319114685058594,-188.64279174804688,15,-1
14,end,254.98106384277344,16.2276554107666,-180.2587890625,15,-1
-1,reset,-297.0001525878906,151.67514038085938,-341.0412902832031,5,-1
