STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-986.4699096679688,26.54768943786621,381.214111328125,15,-1
1,*,-954.7206420898438,25.20230484008789,251.25738525390625,15,-1
2,*,-869.3983154296875,17.70836639404297,101.14508056640625,15,-1
3,*,-843.9877319335938,22.105449676513672,0.6290332674980164,15,-1
4,*,-801.2344970703125,26.19428062438965,-164.41180419921875,15,-1
5,*,-483.38970947265625,15.58548355102539,-132.49668884277344,15,-1
6,*,-443.8311767578125,11.062273979187012,-234.08401489257812,15,-1
7,*,-586.1497192382812,14.158334732055664,-300.23406982421875,15,-1
8,*,-586.2101440429688,32.097442626953125,-380.0372314453125,15,-1
9,*,-586.2456665039062,33.57688903808594,-494.18682861328125,15,-1
10,*,-729.6996459960938,12.44630241394043,-522.9368286132812,15,-1
11,*,-871.0337524414062,13.079580307006836,-331.2860412597656,15,-1
12,*,-955.6229858398438,18.344085693359375,-312.8408508300781,15,-1
13,*,-1011.495361328125,21.678478240966797,-279.7274169921875,15,-1
14,*,-877.0618896484375,31.6588134765625,-142.1956024169922,15,-1
15,*,-931.2767333984375,49.81101608276367,-275.6394348144531,15,-1
16,*,-994.0833129882812,76.19522857666016,-171.82046508789062,15,-1
17,*,-1040.7415771484375,62.820335388183594,-42.4461669921875,15,-1
18,*,-1035.448974609375,73.23573303222656,136.25465393066406,15,-1
19,*,-1064.568603515625,44.374717712402344,301.0834655761719,15,-1
20,*,-1017.3881225585938,35.42040252685547,366.283203125,15,-1
21,*,-990.53466796875,14.572059631347656,512.7584228515625,15,-1
22,*,-962.837158203125,13.901158332824707,646.060302734375,15,-1
23,end,-944.8273315429688,14.926678657531738,498.1903991699219,15,-1
-1,reset,-904.1348876953125,15.231678009033203,465.3901062011719,5,-1
