STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-166.75320434570312,1.5445659160614014,731.0377197265625,15,-1
1,*,-28.80597496032715,3.6262004375457764,551.3660888671875,15,-1
2,*,89.06388092041016,0.7661516666412354,495.79205322265625,15,-1
3,*,140.03182983398438,29.016582489013672,680.6245727539062,15,-1
4,*,249.4818878173828,34.36530685424805,792.6845703125,15,-1
5,*,292.26129150390625,50.652122497558594,902.0090942382812,15,-1
6,*,194.70436096191406,82.06244659423828,1073.95166015625,15,-1
7,*,-13.813566207885742,83.61021423339844,1051.51025390625,15,-1
8,*,-139.5202178955078,87.0960464477539,1084.6417236328125,15,-1
9,*,-248.60719299316406,94.13463592529297,1032.9720458984375,15,-1
10,*,-130.55230712890625,77.22773742675781,1038.5545654296875,15,-1
11,*,-78.73628234863281,74.6914291381836,992.01318359375,15,-1
12,*,-147.3790740966797,56.798248291015625,973.54150390625,15,-1
13,*,-154.6709442138672,47.10761642456055,866.6320190429688,15,-1
14,*,-162.22723388671875,39.802635192871094,911.0015258789062,15,-1
15,end,-241.31849670410156,15.17587661743164,837.4493408203125,15,-1
-1,reset,-279.1881103515625,7.081761837005615,779.407958984375,5,-1
