STEP,STEPNAME,X,Y,Z
0,start,478.70538330078125,32.394351959228516,593.5602416992188
1,*,425.78375244140625,30.675657272338867,734.249267578125
2,*,253.68408203125,13.492131233215332,703.203125
3,*,269.7676086425781,1.9378552436828613,316.82672119140625
4,*,387.2690124511719,63.51634979248047,55.66465377807617
5,*,562.5924072265625,35.866424560546875,7.624796390533447
6,*,612.9382934570312,83.97993469238281,155.996826171875
7,*,627.3564453125,79.93864440917969,373.3465881347656
8,end,557.4955444335938,52.8920783996582,464.1280822753906
-1,reset,485.0301208496094,37.27165603637695,539.51708984375
