STEP,STEPNAME,X,Y,Z
0,start,236.18545532226562,182.43496704101562,1193.39501953125
1,*,119.91375732421875,108.96684265136719,965.742919921875
2,*,-193.8041229248047,137.92950439453125,845.072998046875
3,*,-198.61849975585938,102.17216491699219,474.2681884765625
4,*,243.06484985351562,87.04293060302734,244.41075134277344
5,*,300.2074890136719,14.289880752563477,29.330516815185547
6,*,-16.304609298706055,28.552560806274414,-257.130126953125
7,*,-249.95533752441406,74.66495513916016,-399.3951721191406
8,*,18.190637588500977,25.067520141601562,-869.16259765625
9,end,70.45439910888672,8.777570724487305,-1082.09912109375
-1,reset,264.8414001464844,197.06907653808594,1235.7269287109375
