STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-672.1756591796875,27.90061378479004,-536.9775390625,15,-1
1,*,-721.50244140625,12.6995267868042,-526.5460205078125,15,-1
2,*,-905.1117553710938,3.5085339546203613,-449.82470703125,15,-1
3,*,-1001.5045776367188,10.374305725097656,-417.0899353027344,15,-1
4,*,-1011.5459594726562,23.6142520904541,-257.008544921875,15,-1
5,*,-959.12646484375,36.883392333984375,-110.47718811035156,15,-1
6,*,-829.56005859375,23.939516067504883,-187.50900268554688,15,-1
7,*,-710.4906616210938,12.801797866821289,-173.77931213378906,15,-1
8,*,-588.3264770507812,31.88622283935547,-374.60089111328125,15,-1
9,end,-627.4677124023438,33.383079528808594,-534.0703735351562,15,-1
-1,reset,-569.1578369140625,35.056884765625,-402.76885986328125,5,-1
