STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-986.00341796875,49.19028091430664,202.57916259765625,15,-1
1,*,-1022.7188720703125,46.38914489746094,322.7769775390625,15,-1
2,*,-838.9508056640625,20.28684425354004,409.9738464355469,15,-1
3,*,-641.0031127929688,38.4366340637207,306.25726318359375,15,-1
4,*,-650.7019653320312,37.267608642578125,201.45164489746094,15,-1
5,*,-756.3641967773438,33.201515197753906,141.6573028564453,15,-1
6,*,-870.172119140625,45.674278259277344,-10.43116569519043,15,-1
7,*,-962.4490966796875,36.90211486816406,-3.336843729019165,15,-1
8,end,-982.8982543945312,49.78446578979492,140.5307159423828,15,-1
-1,reset,-1076.159423828125,51.67318344116211,235.33042907714844,5,-1
