STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-457.2767333984375,59.5346565246582,-667.3212280273438,15,-1
1,*,-481.6532897949219,60.404335021972656,-509.9866943359375,15,-1
2,*,-561.3271484375,59.713314056396484,-451.12103271484375,15,-1
3,*,-566.2901611328125,50.57215118408203,-529.6231689453125,15,-1
4,*,-514.6293334960938,50.56114959716797,-629.1377563476562,15,-1
5,*,-564.6926879882812,50.332664489746094,-694.00439453125,15,-1
6,*,-652.2723999023438,50.411991119384766,-673.294677734375,15,-1
7,*,-684.7864379882812,53.21085739135742,-579.3548583984375,15,-1
8,*,-717.9694213867188,60.329158782958984,-590.5595092773438,15,-1
9,*,-696.384033203125,59.70344161987305,-687.40185546875,15,-1
10,*,-586.1338500976562,59.93112564086914,-764.8583984375,15,-1
11,end,-477.8020935058594,59.506595611572266,-731.24609375,15,-1
-1,reset,-372.7457580566406,69.87215423583984,-614.5542602539062,5,-1
