STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-557.9300537109375,171.3834991455078,452.5675354003906,15,-1
1,*,-526.5056762695312,176.70114135742188,340.0048522949219,15,-1
2,*,-459.7396545410156,197.1176300048828,255.66357421875,15,-1
3,*,-436.92681884765625,173.0891571044922,161.1871795654297,15,-1
4,*,-457.9507141113281,145.7083282470703,-98.73812103271484,15,-1
5,*,-505.9708557128906,159.32952880859375,-281.5494079589844,15,-1
6,*,-411.7596435546875,155.99684143066406,-284.13604736328125,15,-1
7,*,-312.85748291015625,163.9414520263672,-245.89698791503906,15,-1
8,*,-260.5994567871094,158.01832580566406,-159.06089782714844,15,-1
9,*,-174.4911651611328,137.52186584472656,-17.229402542114258,15,-1
10,*,-126.6136245727539,144.8860321044922,79.55042266845703,15,-1
11,*,-115.8622817993164,154.25807189941406,166.38031005859375,15,-1
12,*,-148.53880310058594,173.97447204589844,236.6719512939453,15,-1
13,*,-149.6122589111328,171.16067504882812,371.0051574707031,15,-1
14,*,-134.0128936767578,154.0576171875,483.517578125,15,-1
15,*,-274.7493896484375,167.7093505859375,564.3168334960938,15,-1
16,*,-407.151123046875,167.09188842773438,561.0513916015625,15,-1
17,end,-557.2249145507812,176.21446228027344,527.052490234375,15,-1
-1,reset,-660.80810546875,166.64187622070312,77.87095642089844,5,-1
