STEP,STEPNAME,X,Y,Z
0,start,569.9375610351562,50.231842041015625,465.77166748046875
1,*,327.5111083984375,37.00214767456055,409.0692138671875
2,*,168.40768432617188,37.03746032714844,337.578125
3,*,209.5767364501953,92.88089752197266,154.71066284179688
4,*,100.67471313476562,76.22732543945312,-380.8691711425781
5,*,167.1279296875,115.92082214355469,-564.3450927734375
6,*,342.7794494628906,113.67243957519531,-641.1884765625
7,*,290.9875183105469,99.20130920410156,-366.7642517089844
8,*,355.0185546875,130.84153747558594,-234.8645782470703
9,*,435.31292724609375,73.08574676513672,-56.45564651489258
10,*,470.2713317871094,25.34433937072754,168.29811096191406
11,*,594.4365844726562,21.244632720947266,305.04095458984375
12,end,661.1888427734375,39.34746551513672,462.04925537109375
-1,reset,741.5009765625,127.52398681640625,771.8026123046875
