STEP,STEPNAME,X,Y,Z
0,start,199.6152496,9.509608269,-90.13062286
1,*,339.8240662,2.58372283,-96.59111786
2,*,543.5795288,33.92137909,-186.0417328
3,*,498.1088867,28.78915405,-369.5389099
4,*,390.9669495,15.90636539,-469.4672241
5,*,326.4246826,3.018717289,-597.8221436
6,*,257.3063965,32.3952713,-489.0424194
7,*,183.9393158,30.89782906,-371.1974792
8,*,90.49740601,33.77570343,-322.5493164
9,*,-4.298639774,34.04431534,-331.3991089
10,*,-9.627020836,57.35002899,-189.0332184
11,*,23.33789825,36.08519745,-101.6923447
12,*,32.67592239,33.00643539,-186.4054871
13,*,136.8313141,29.50439453,-267.742157
14,end,180.6116486,16.85618973,-164.8156738
-1,reset,150.477417,8.747236252,-92.15884399
