STEP,STEPNAME,X,Y,Z
0,start,141.3429565,3.914337635,-49.48170471
1,*,-18.40257835,3.138510704,-12.08532619
2,*,-103.0023193,6.779664993,-119.1855469
3,*,-168.870697,6.175187588,-266.7835999
4,*,-136.7376556,8.96985054,-356.4486694
5,*,-64.27145386,22.55521393,-397.5758972
6,*,-5.004066944,34.38972092,-330.4241943
7,*,-16.04692459,57.00086594,-211.4869843
8,*,-64.29258728,65.11290741,-331.4292603
9,*,-6.249106884,63.60621262,-407.1000366
10,*,101.0001526,49.33917999,-436.5431519
11,*,254.5966644,31.75820351,-486.6627502
12,*,319.4411926,2.191658735,-602.2543335
13,*,369.6866455,8.294520378,-523.6633911
14,*,303.9490051,29.73707581,-460.4508057
15,*,181.1721497,30.9468708,-366.2435303
16,*,108.4886398,32.95768738,-324.3365173
17,*,18.84648705,34.30450439,-332.8678589
18,*,95.27376556,44.03229141,-290.1904907
19,*,160.5135193,24.83011436,-243.3605499
20,end,176.0186462,15.73690414,-152.4803772
-1,reset,183.6887512,9.464728355,-77.97341156
