STEP,STEPNAME,X,Y,Z
0,start,207.3510437,9.050430298,-93.10125732
1,*,342.5205078,2.159646511,-96.29367065
2,*,543.0581055,33.90119553,-184.5549316
3,*,500.3311462,28.92171288,-367.8606262
4,*,392.8687744,16.65350533,-465.3461609
5,*,328.3372192,2.786030293,-600.9354248
6,*,257.1685181,32.23954773,-490.6486206
7,*,180.2850952,30.90820313,-366.6773071
8,*,76.95513916,33.48414993,-325.1487122
9,*,-4.611003399,34.38502502,-330.601532
10,*,-9.746717453,57.28764725,-188.5516205
11,*,28.5077343,35.05901337,-99.89382172
12,*,32.50809097,32.99386978,-185.7158661
13,*,137.2178192,28.54396439,-264.5100403
14,*,165.1867218,11.4988699,-121.135849
15,*,227.6891327,30.28076744,-221.2533264
16,*,243.0948944,59.19993591,-302.7789917
17,*,122.0008011,47.59330368,-425.5993347
18,*,-4.026248455,63.4796524,-413.7335205
19,*,-66.25790405,66.29660034,-346.0257568
20,*,-21.73764992,57.02035522,-211.8051758
21,*,14.32081985,59.74909973,-288.2478333
22,*,-106.7274933,15.18790722,-430.2991943
23,*,-68.84357452,7.403268337,-525.1192017
24,*,92.55758667,2.894106627,-602.9929199
25,*,243.0776672,3.369976044,-572.2714233
26,*,371.1045227,9.492781639,-508.8040161
27,*,358.0822754,37.21830368,-376.9918518
28,*,345.9256287,40.94925308,-257.7312317
29,*,444.1765137,12.23444653,-101.1178589
30,*,345.2121277,1.914018631,-96.38175964
31,*,138.9543152,2.962664604,-43.8376503
32,*,-16.04640388,2.757231474,-7.436340332
33,*,-99.89842987,5.678984642,-111.9434586
34,*,-168.0984039,6.216689587,-264.4488831
35,*,-137.5038452,8.809866905,-356.2485046
36,*,-61.12171555,23.36486244,-392.3157959
37,*,-6.389362335,33.54698944,-332.0065613
38,*,-20.17896461,56.97404099,-214.7263794
39,*,-66.12608337,66.19732666,-343.4112244
40,*,-7.042713165,63.56595612,-410.8849182
41,*,118.5577545,48.16658401,-427.3621216
42,*,256.1228943,32.27584076,-489.1769104
43,*,326.9819946,2.898291111,-598.9110107
44,*,370.4710083,9.002178192,-510.7716675
45,*,306.0106812,30.01830292,-459.0186768
46,*,182.7348938,30.82492447,-368.0265198
47,*,117.1386871,32.9045639,-327.1153259
48,*,20.95863533,34.51299667,-334.3122864
49,*,84.54663086,43.93395996,-298.0310364
50,*,165.3105469,25.03772163,-236.5727081
51,end,175.4340515,15.59510422,-151.4719696
-1,reset,196.5098267,20.48235321,-124.2293472
