STEP,STEPNAME,X,Y,Z
0,start,-383.92169189453125,46.209877014160156,-235.84828186035156
1,*,-122.37680053710938,39.26274490356445,-247.13525390625
2,*,94.57499694824219,0.8819980621337891,-192.31317138671875
3,*,225.81768798828125,-0.7168354392051697,-85.63114929199219
4,*,267.88330078125,-0.3114772439002991,211.86936950683594
5,*,484.4364929199219,-0.30362629890441895,320.18316650390625
6,*,574.8967895507812,34.887596130371094,-0.5284920930862427
7,*,423.9496154785156,50.69232940673828,-123.71199035644531
8,*,223.737548828125,48.37929916381836,-83.23470306396484
9,*,107.25992584228516,43.245182037353516,32.137298583984375
10,*,-123.32205963134766,39.122764587402344,-247.27691650390625
11,*,-285.9521789550781,52.25719451904297,-188.34300231933594
12,end,-417.37591552734375,44.911865234375,-181.865478515625
-1,reset,-539.3897094726562,31.712434768676758,-411.2883605957031
