STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,485.8629150390625,95.1446762084961,87.41707611083984,15,-1
1,*,572.5707397460938,94.92911529541016,78.22124481201172,15,-1
2,*,665.0081176757812,2.5134873390197754,-118.7149429321289,15,-1
3,*,684.530029296875,2.499074697494507,-238.01351928710938,15,-1
4,*,740.6317749023438,0.975777804851532,-344.8276062011719,15,-1
5,*,624.0565185546875,61.66960144042969,-397.9429626464844,15,-1
6,*,658.5825805664062,61.66960144042969,-496.2362365722656,15,-1
7,*,759.5811767578125,61.39039993286133,-515.6392822265625,15,-1
8,*,724.9335327148438,53.092018127441406,-679.1312255859375,15,-1
9,*,632.7009887695312,48.127079010009766,-678.9937744140625,15,-1
10,*,555.3652954101562,2.587681293487549,-467.134521484375,15,-1
11,*,377.1866455078125,2.587682008743286,-455.7273254394531,15,-1
12,*,278.2749938964844,2.587681531906128,-373.314453125,15,-1
13,*,271.1332702636719,2.476078748703003,-266.5997619628906,15,-1
14,*,304.2663269042969,3.3237264156341553,-58.80475997924805,15,-1
15,*,266.3890380859375,2.580085039138794,131.40745544433594,15,-1
16,end,400.40191650390625,95.28680419921875,88.1040267944336,15,-1
-1,reset,578.9407348632812,2.48622727394104,-0.5891135334968567,5,-1
