STEP,STEPNAME,X,Y,Z,RADIUS,ANGLE
0,start,-341.6245728,51.31067657,485.4671021,15,-1
1,*,-254.1291504,59.68922806,551.1879883,15,-1
2,*,-148.859436,56.63265991,605.5805664,15,-1
3,*,-84.46298218,56.33428192,530.0471802,15,-1
4,*,-51.26197052,1.006560564,348.1607361,15,-1
5,*,-26.13944054,32.97924042,236.5553741,15,-1
6,*,-94.37799835,27.59278107,136.2365112,15,-1
7,*,-226.6506195,22.04694748,203.9026642,15,-1
8,*,-378.9613342,23.9053688,192.6045532,15,-1
9,*,-536.2353516,58.06962585,182.4595032,15,-1
10,*,-633.8977661,28.49772072,291.0047302,15,-1
11,*,-682.0595703,24.10845184,404.3951416,15,-1
12,*,-781.9227905,4.529767036,575.3776855,15,-1
13,*,-890.9737549,4.23420763,584.3731689,15,-1
14,*,-968.8233643,21.27822304,420.099823,15,-1
15,*,-977.0550537,29.00698662,316.7780762,15,-1
16,*,-797.7666626,29.61451912,307.3558044,15,-1
17,*,-605.8691406,21.40761948,352.5458679,15,-1
18,*,-479.883606,23.93121719,410.3053284,15,-1
19,end,-392.7303162,52.06639099,474.1012878,15,-1
-1,reset,-419.3232117,34.78024673,440.3644714,5,-1
